샘밭막국수 (서울본점), 서울시 서초구 서초동 1685-8, 02-585-1702, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:30 - 21:30
씽킹인사이드더박스, 서울시 서대문구 창천동 46-12, 02-312-3812, 칵테일 / 와인, 만원 미만, 유료주차 가능, 일-목: 17:00 - 02:00\n금-토: 17:00 - 03:00
소신이쏘, 서울시 서대문구 창천동 57-39, 02-324-3245, 고기 요리, 만원-2만원, 주차공간없음, 12:00 - 22:30
야바이, 서울시 서대문구 창천동 53-20, 070-8875-1024, 철판 요리, 만원 미만, 주차공간없음, 일-목: 16:00 - 24:00\n금-토: 16:00 - 01:00
티앙팡오후의홍차, 서울시 서대문구 대현동 54-28, 02-364-4196, 카페 / 디저트, 만원 미만, 주차공간없음, 12:00 - 22:30
까이식당, 서울시 서대문구 대현동 53-9, 070-7570-0871, 다국적 아시아 음식, 만원 미만, 주차공간없음, 월- 금: 11:00 - 20:00 토: 11:00 - 15:00
비밀, 서울시 서대문구 대현동 27-46, 02-313-0877, 베이커리, 만원 미만, 주차공간없음, 월-토: 08:00 - 21:00\n일: 10:00 - 17:00
리화인와플, 서울시 서대문구 대현동 56-86, 070-4147-7048, 카페 / 디저트, 만원 미만, 주차공간없음, 12:30 - 22:00
미스터서왕만두, 서울시 서대문구 대현동 27-20, 02-312-8869, 딤섬 / 만두, 만원 미만, 무료주차 가능, 11:00 - 21:00
와플잇업, 서울시 서대문구 대현동 27-17, 070-4410-2829, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 12:00 - 23:00\n토-일: 13:00 - 22:30
후쿠스시, 서울시 서대문구 대현동 56-27, 02-363-0535, 회 / 스시, 만원-2만원, 주차공간없음, 11:30 - 21:00
더데이지, 서울시 서대문구 대현동 54-1, 02-363-8680, 기타 양식, 만원 미만, 주차공간없음, 월-금: 08:00 - 20:00\n토: 10:00 - 19:00
삭 (이대 본점), 서울시 서대문구 대현동 56-33, 02-363-0709, 기타 한식, 만원 미만, 주차공간없음, 12:00 - 23:00
마더린러베이글, 서울시 서대문구 대현동 56-23, 070-7758-3030, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 08:30 - 19:30\n토: 10:00 - 19:00
아현닭발, 서울시 서대문구 북아현동 221-14, 02-312-5977, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 17:00 - 05:00
파파브레드, 서울시 서대문구 북아현동 134-3, 02-363-0355, 베이커리, 만원 미만, 주차공간없음, 10:00 - 01:00
우리식당, 서울시 마포구 아현동 330-13, 02-312-5352, 기타 한식, , None, None
미스터브리즈커피 (아현점), 서울시 서대문구 북아현동 126-13, 02-364-9757, 카페 / 디저트, 만원 미만, 주차공간없음, 09:00 - 23:00
늘푸른식당, 서울시 마포구 아현동 329-9, 02-362-9604, 일반 주점, None, None, None
대청마루, 서울시 마포구 아현동 327-1, 02-363-1617, 기타 한식, None, None, None
테라스, 서울시 서대문구 북아현동 135-9, 02-362-0027, 기타 한식, 만원 미만, 주차공간없음, 월-토: 15:00 - 04:00\n일: 14:00 - 04:00
이오카츠 (아현점), 서울시 서대문구 북아현동 136-21, 02-365-2525, 까스 요리, 만원 미만, 무료주차 가능, 11:00 - 22:00
무국식탁 편백집, 서울시 마포구 아현동 330-4, 02-312-4069, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 11:30 - 22:00
위드브레드, 서울시 마포구 아현동 326-20, 02-313-2092, 베이커리, 만원 미만, 주차공간없음, 08:00 - 22:00
위드미치코, 서울시 서대문구 충정로3가 268, 02-362-1394, 이자카야 / 오뎅 / 꼬치, 만원-2만원, 주차공간없음, 월-금: 16:00 - 01:30\n토: 16:00 - 01:00
옐로우보울, 서울시 서대문구 충정로3가 476, 02-6364-4961, 기타 양식, 만원-2만원, 유료주차 가능, 11:00 - 22:00
철길떡볶이, 서울시 서대문구 충정로3가 143-2, 02-364-3440, 기타 한식, 만원 미만, 주차공간없음, 11:00 - 20:00
고릴라, 서울시 서대문구 충정로3가 272, 02-312-3541, 고기 요리, 만원-2만원, 주차공간없음, 12:00 - 22:00
충정각, 서울시 서대문구 충정로3가 360-22, 02-313-0424, 이탈리안, 만원-2만원, 주차공간없음, 10:00 - 23:00
양드림식당, 서울시 중구 중림동 156-120, 02-6180-1588, 기타 중식, 2만원-3만원, 무료주차 가능, 18:00 - 23:30
입장, 서울시 서대문구 충정로3가 150-1, 02-365-4900, 치킨 / 호프 / 펍, 만원-2만원, 주차공간없음, 17:00 - 01:00
깐부치킨 (충정로역점), 서울시 중구 중림동 500, 치킨 / 호프 / 펍, 만원-2만원, 15:00 - 01:00, 일, None
깐쪼네, 서울시 서대문구 충정로3가 31-1, 010-3818-6147, 이탈리안, 만원 미만, 주차공간없음, 10:00 - 21:00
더후라이팬 (충정로점), 서울시 중구 중림동 398-8, 02-364-1333, 치킨 / 호프 / 펍, 만원-2만원, 주차공간없음, 17:00 - 02:00
목포산꽃게아구찜탕, 서울시 성동구 마장동 767-41, 02-2292-1270, 해산물 요리, 3만원-4만원, 주차공간없음, 11:30 - 22:30
엣촌맛고을, 서울시 성동구 마장동 803, 02-2298-6658, 고기 요리, 3만원-4만원, 무료주차 가능, 07:00 - 01:00
까페이레, 서울시 동대문구 답십리동 498-5, 02-2244-7112, 카페 / 디저트, 만원 미만, None, None
나두밥, 서울시 동대문구 답십리동 542-1, 02-2247-4863, 기타 한식, 만원 미만, 주차공간없음, 월-금: 07:00 - 21:00\n토: 07:00 - 19:00
연평도꽃게아구낙지, 서울시 성동구 마장동 767-36, 02-2294-6565, 해산물 요리, None, None, None
군산아구산꽃게, 서울시 성동구 마장동 767-42, 02-2295-7019, 해산물 요리, 3만원-4만원, 발렛, 10:00 - 22:00
채선당 (답십리점), 서울시 동대문구 답십리동 498-7, 02-2242-2001, 기타 일식, None, None, None
변산반도고향집, 서울시 성동구 마장동 803, 02-2295-5995, 고기 요리, None, None, None
옛고을닭한마리, 서울시 동대문구 답십리동 465-5, 02-2215-1316, 닭 / 오리 요리, 만원-2만원, None, None
카페 파로, 서울시 동대문구 답십리동 498-7, 02-6215-7266, 카페 / 디저트, 만원 미만, 무료주차 가능, 월-금: 09:00 - 23:00\n토-일: 10:00 - 24:00
송원마포갈비, 서울시 영등포구 문래동4가 8-18, 02-2678-2978, 고기 요리, 만원-2만원, 주차공간없음, 월-토: 17:00 - 23:00\n일: 12:30 - 21:30
영일분식, 서울시 영등포구 문래동4가 8-26, 02-2636-9817, 국수 / 면 요리, 만원 미만, 주차공간없음, 10:00 - 20:00
등촌샤브칼국수 (문래점), 서울시 영등포구 문래동5가 2, 02-2677-0866, 국수 / 면 요리, 만원 미만, 무료주차 가능, 10:00 - 22:00
파워식당, 서울시 영등포구 문래동5가 10, 070-4147-3388, 퓨전 양식, 만원-2만원, None, None
훔친장어, 서울시 영등포구 문래동4가 40, 02-3667-0592, 해산물 요리, None, None, None
무카이, 서울시 영등포구 문래동4가 8-2, 010-2979-5335, 기타 중식, 만원-2만원, 주차공간없음, 18:00 - 02:00
능이버섯백숙, 서울시 영등포구 문래동4가 9-2, 02-2677-7373, 닭 / 오리 요리, 11:00 - 21:50, 16:00 - 17:00, 21:00
대추나무칼국수, 서울시 영등포구 문래동4가 8-35, 02-2677-7645, 국수 / 면 요리, 만원 미만, 11:00 - 22:00, 일
난봉꾼, 서울시 영등포구 문래동4가 9-6, 070-4246-5354, 해산물 요리, None, None, None
문래약수터, 서울시 영등포구 문래동4가 8-6, 02-2068-4610, 일반 주점, 2만원-3만원, 주차공간없음, 18:00 - 23:00
일번지포장마차, 서울시 양천구 신정동 326, 02-6747-1757, 전통 주점 / 포차, 만원 미만, 주차공간없음, 16:00 - 01:00
오르리단팥빵, 서울시 양천구 신정동 323-9, 02-2655-2001, 베이커리, 만원 미만, 유료주차 가능, 09:00 - 23:00
신선설농탕 (목동점), 서울시 양천구 신정동 321-6, 02-2650-8868, 탕 / 찌개 / 전골, 만원 미만, 00:00 - 24:00, 
산들해 (목동점), 서울시 양천구 신정동 321-6, 02-2647-3457, 한정식 / 백반 / 정통 한식, 만원-2만원, 유료주차 가능, 11:30 - 21:50
포레스트 카페, 서울시 양천구 신정동 324-1, 02-2648-5244, 카페 / 디저트, 만원 미만, None, None
슈크레동 (목동점), 서울시 양천구 신정동 323-7, 070-8841-2151, 카페 / 디저트, 만원 미만, 유료주차 가능, 09:00 - 21:30
마실 (목동점), 서울시 양천구 신정동 323, 02-2649-1800, 한정식 / 백반 / 정통 한식, 만원-2만원, 유료주차 가능, 11:00 - 22:00
굳세어라 청춘이닭, 서울시 양천구 신정동 324-10, 02-2651-9285, 닭 / 오리 요리, 만원-2만원, , None
신의주찹쌀순대 (양천점), 서울시 양천구 신정동 323-9, 02-2654-9382, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 00:00 - 24:00
히노야마, 서울시 양천구 신정동 321-6, 02-2650-8667, 정통 일식 / 일반 일식, 만원-2만원, 무료주차 가능 지하주차장 이용가능, 11:00 - 22:00
살구나무집칼국수, 서울시 양천구 신정동 1048-7, 02-2652-9991, 국수 / 면 요리, 만원 미만, 주차공간없음, 10:30 - 21:30
황소곱창구이, 서울시 양천구 신정동 971-19, 02-2699-1949, 고기 요리, 2만원-3만원, 주차공간없음, 월-토: 11:00 - 01:00\n일: 11:00 - 24:00
언니김밥, 서울시 양천구 신정동 1048-9, 02-2648-1113, 기타 한식, 만원 미만, 10:00 - 20:30, 일
미가참숯불갈비, 서울시 양천구 신정동 1031-14, 02-2652-7272, 고기 요리, 만원 미만, 무료주차 가능, 11:00 - 23:00
황금참치, 서울시 양천구 신정동 1031-5, 02-2642-3393, 해산물 요리, 3만원-4만원, 유료주차 가능 주차비 지원, 17:00 - 02:00
미스터회전초밥왕, 서울시 양천구 신정동 1182-2, 02-2606-5654, 회 / 스시, 만원-2만원, 무료주차 가능, 11:00 - 24:00
이가네멧돌빈대떡, 서울시 양천구 신정동 1032-10, 02-2642-9242, 기타 한식, None, None, None
고을래 (신정점), 서울시 양천구 신정동 1032-4, 02-2065-8119, 고기 요리, 만원 미만, 무료주차 가능, 10:00 - 01:00
24시 누름돌 생고기 김치찌개, 서울시 양천구 신정동 1182-11, 02-2601-1337, 탕 / 찌개 / 전골, 만원 미만, 00:00 - 24:00, None
할리스커피 (신정네거리점), 서울시 양천구 신정동 1032-11, 02-2645-9957, 카페 / 디저트, 만원 미만, 주차공간없음, 08:00 - 01:00
한우통, 서울시 성동구 마장동 522-2, 02-2299-3245, 고기 요리, 만원-2만원, 무료주차 가능, 월-금: 16:30 - 23:30\n토-일: 11:00 - 23:00
한우마을, 서울시 성동구 마장동 509-11, 02-2291-0292, 고기 요리, 2만원-3만원, 주차공간없음, 10:00 - 22:30
지니스테이블, 서울시 동대문구 용두동 39-968, 02-6083-7388, 기타 양식, 만원-2만원, 유료주차 가능, 11:00 - 22:00
고기익는마을, 서울시 성동구 마장동 509-4, 02-2292-8999, 고기 요리, None, None, None
아리랑식당, 서울시 성동구 마장동 507-9, 010-3283-8356, 한정식 / 백반 / 정통 한식, 만원 미만, 무료주차 가능, 09:00 - 22:00
소들유통, 서울시 성동구 마장동 509-1, 02-2295-8022, 고기 요리, 2만원-3만원, 주차공간없음, 11:00 - 20:00
한국집식당, 서울시 성동구 마장동 465-33, 02-2299-1063, 고기 요리, 3만원-4만원, None, None
고기선수촌 (마장점), 서울시 성동구 마장동 470-1, 02-2291-1676, 고기 요리, None, None, None
숯불탁탁, 서울시 성동구 마장동 510-8, 02-2299-4987, 고기 요리, None, None, None
대양숯불갈비, 서울시 동대문구 용두동 40-11, 02-964-9595, 고기 요리, None, None, None
커피볶는곤이네집, 서울시 강서구 화곡동 899-29, 02-2601-1807, 카페 / 디저트, 만원 미만, 무료주차 가능, 월-목: 10:00 - 24:00\n금-토: 10:00 - 01:00
장금수부대찌개 (까치산역점), 서울시 강서구 화곡동 898-16, 02-2604-7272, 탕 / 찌개 / 전골, 만원 미만, 주차공간없음, 11:00 - 24:00
다시오는순대국, 서울시 강서구 화곡동 340-31, 02-2601-8266, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 00:00 - 24:00
밥맛나는세상 (까치산역점), 서울시 강서구 화곡동 898-1, 02-2604-7997, 한정식 / 백반 / 정통 한식, 만원 미만, 유료주차 가능, 11:00 - 21:00
제주고기국수, 서울시 강서구 화곡동 349-15, 02-2690-5853, 국수 / 면 요리, 만원 미만, 주차공간없음, 10:00 - 22:00
한수치킨, 서울시 강서구 화곡동 898-1, 02-2699-9797, 치킨 / 호프 / 펍, 만원-2만원, 유료주차 가능, 13:00 - 01:00
원조양평신내서울해장국, 서울시 강서구 화곡동 888-9, 02-2699-9876, 탕 / 찌개 / 전골, None, None, None
스시쇼쿠닌, 서울시 강서구 화곡동 353-36, 02-2696-0501, 회 / 스시, 만원-2만원, 무료주차 가능, 11:00 - 22:00
피아띠스파게티전문점, 서울시 강서구 화곡동 343-5, 02-2696-3295, 이탈리안, 만원-2만원, None, None
이스탄불숯불바베큐, 서울시 강서구 화곡동 340-1, 02-2602-8334, 스테이크 / 바베큐, 만원-2만원, 무료주차 가능, 16:00 - 04:00
스프링그린, 서울시 은평구 진관동 100-3, 02-355-0508, 카페 / 디저트, 만원-2만원, 무료주차 가능, 11:00 - 21:00
안스베이커리 (롯데몰 은평), 서울시 은평구 진관동 63, 02-6975-5116, 베이커리, 만원 미만, 유료주차 가능, 10:30 - 22:00
채선당 (은평뉴타운점), 서울시 은평구 진관동 67-1, 02-387-4567, 기타 일식, 만원-2만원, 무료주차 가능, 11:00 - 22:00
HUGA, 서울시 은평구 진관동 74, 02-352-7400, 카페 / 디저트, 만원 미만, 무료주차 가능, 09:00 - 22:00
바른스시 (롯데몰 은평점), 서울시 은평구 진관동 63, 02-6975-5070, 회 / 스시, 만원-2만원, 유료주차 가능, 10:30 - 22:00
수수가든카페 (롯데몰 은평), 서울시 은평구 진관동 63, 02-6975-5270, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:30 - 22:00
캘리포니아피자키친 (롯데몰 은평), 서울시 은평구 진관동 63, 02-6975-5430, 이탈리안, 만원-2만원, 유료주차 가능, 10:30 - 22:00
면채반 (롯데몰 은평), 서울시 은평구 진관동 63, 02-6975-5417, 한정식 / 백반 / 정통 한식, 만원 미만, 유료주차 가능, 10:30 - 22:00
중식당 청화당 (롯데몰 은평), 서울시 은평구 진관동 63, 02-6975-5488, 정통 중식 / 일반 중식, 만원-2만원, 유료주차 가능, 10:30 - 22:00
도레도레 (롯데몰 은평), 서울시 은평구 진관동 63, 02-6975-5125, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:30 - 22:00
코피티암, 서울시 은평구 갈현동 481-4, 070-7651-8837, 카페 / 디저트, 만원 미만, 주차공간없음, 일-목: 11:00 - 23:50\n금-토: 11:00 - 00:50
불오징어집, 서울시 은평구 대조동 185-30, 02-355-3130, 해산물 요리, 만원-2만원, 주차공간없음, 월-목: 12:00 - 23:00\n금-일: 12:00 - 22:00
커피볶는고양이, 서울시 은평구 갈현동 452-31, 02-355-7642, 카페 / 디저트, 만원 미만, 11:00 - 23:30, 
세이지, 서울시 은평구 갈현동 483-3, 02-356-7910, 이자카야 / 오뎅 / 꼬치, 만원-2만원, 주차공간없음, 18:00 - 02:00
보들이족발, 서울시 은평구 대조동 185-40, 02-388-7610, 고기 요리, None, None, None
수정불막창, 서울시 은평구 갈현동 455-3, 02-382-1482, 고기 요리, 만원-2만원, 주차공간없음, 16:00 - 24:00
목노집, 서울시 은평구 대조동 197-2, 02-355-1652, 고기 요리, 만원-2만원, 유료주차 가능, 12:00 - 01:00
호박, 서울시 은평구 갈현동 453-25, 02-355-6544, 전통 주점 / 포차, 만원-2만원, None, None
카도야라멘, 서울시 은평구 갈현동 430-4, 02-6497-3284, 라멘 / 소바 / 우동, 만원 미만, 주차공간없음, 11:00 - 22:30
H3 비스트로, 서울시 은평구 갈현동 482-1, 02-352-4124, 스테이크 / 바베큐, 만원-2만원, 주차공간없음, 11:30 - 22:30
허니돈, 서울시 은평구 대조동 240, 02-2068-3251, 기타 한식, 만원 미만, 주차공간없음, 11:00 - 21:00
중화원, 서울시 은평구 불광동 281-128, 02-353-3379, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 화-금: 11:00 - 19:00\n토-일: 11:00 - 18:00
불광떡집, 서울시 은평구 대조동 26-25, 02-387-3000, 베이커리, None, None, None
종로떡집, 서울시 은평구 대조동 14-64, 02-353-6142, 베이커리, None, None, None
테루, 서울시 은평구 대조동 240, 02-350-9655, 퓨전 일식, 만원-2만원, 유료주차 가능, 10:30 - 21:00
강용구족발보쌈 (본점), 서울시 은평구 불광동 274-5, 02-388-0984, 고기 요리, 만원-2만원, 주차공간없음, 11:00 - 23:00
만선, 서울시 은평구 불광동 285-10, 02-355-8891, 정통 일식 / 일반 일식, 만원-2만원, 무료주차 가능, 11:40 - 10:30
술집타디스, 서울시 은평구 불광동 281-73, 02-385-1979, 치킨 / 호프 / 펍, 만원-2만원, 주차공간없음, 18:00 - 02:00
호야네 양꼬치, 서울시 은평구 대조동 15-134, 02-356-2619, 기타 중식, 만원-2만원, 주차공간없음, 16:00 - 01:00
반궁 (NC백화점불광점), 서울시 은평구 대조동 240, 02-350-9721, 한정식 / 백반 / 정통 한식, 만원-2만원, 유료주차 가능 2시간 무료, 11:00 - 21:00
부자냉면부자만두 (녹번점), 서울시 은평구 녹번동 182, 02-359-8500, 한정식 / 백반 / 정통 한식, 만원 미만, 무료주차 가능, 11:30 - 22:00
우주미, 서울시 은평구 녹번동 185, 02-354-7788, 탕 / 찌개 / 전골, 만원 미만, 주차공간없음, 00:00 - 24:00
모두와돈까스, 서울시 은평구 녹번동 79-33, 기타 한식, 만원 미만, None, None, None
서부감자국, 서울시 은평구 녹번동 181, 02-356-4555, 탕 / 찌개 / 전골, 만원-2만원, 주차공간없음, 11:00 - 06:00
경복궁 (녹번점), 서울시 은평구 녹번동 183-5, 02-352-0044, 고기 요리, 2만원-3만원, 발렛, 11:30 - 22:00
오니기리와이규동 (은평구청점), 서울시 은평구 응암동 74-6, 02-307-0290, 기타 일식, , None, None
59년옛날통닭, 서울시 은평구 녹번동 79-2, 02-351-4062, 닭 / 오리 요리, 만원 미만, None, None
쌀국수마을420, 서울시 은평구 녹번동 215, 02-352-5472, 베트남 음식, 만원 미만, 주차공간없음, 11:00 - 23:00
녹번꼼장어, 서울시 은평구 녹번동 212, 02-386-5114, 해산물 요리, None, None, None
장충당 (녹번점), 서울시 은평구 녹번동 237, 02-383-7772, 고기 요리, 2만원-3만원, 주차공간없음, 15:00 - 24:00
하이드미플리즈, 서울시 서대문구 홍제동 330-226, 02-394-2015, 카페 / 디저트, 만원-2만원, 무료주차 가능 공간협소, 11:00 - 24:00
주재근베이커리, 서울시 서대문구 홍제동 174-56, 02-735-3475, 베이커리, 만원 미만, 주차공간없음, 07:00 - 23:30
산천마루, 서울시 서대문구 홍은동 48-149, 02-394-3919, 닭 / 오리 요리, 2만원-3만원, 무료주차 가능, 10:00 - 22:00
프론토, 서울시 서대문구 홍제동 326-12, 02-379-0766, 이탈리안, 만원-2만원, 주차공간없음, 11:00 - 22:00
3호선차이나, 서울시 서대문구 홍제동 174-13, 02-737-9282, 정통 중식 / 일반 중식, None, None, None
창신동매운족발, 서울시 서대문구 홍제동 315-31, 02-395-1192, 고기 요리, 만원-2만원, 주차공간없음, 15:00 - 01:00
월출산생오리전문점, 서울시 서대문구 홍제동 330-76, 02-395-0592, 닭 / 오리 요리, None, None, None
왕봉24시해장국, 서울시 서대문구 홍제동 295-25, 탕 / 찌개 / 전골, 만원 미만, None, None, None
즉석우동국수(골목집), 서울시 서대문구 홍제동 299-23, 02-391-3319, 국수 / 면 요리, 만원 미만, 21:00 - 02:00, 일
골목스푼, 서울시 서대문구 홍제동 330-70, 02-396-9086, 스테이크 / 바베큐, 일, None, None
동보성, 서울시 서대문구 홍제동 460, 02-379-7203, 정통 중식 / 일반 중식, 만원-2만원, 주차공간없음, 11:00 - 21:00
무악해물찜탕, 서울시 서대문구 홍제동 24-5, 02-739-4385, 해산물 요리, None, None, None
한도올, 서울시 서대문구 홍제동 20-29, 02-6748-1020, 고기 요리, 만원-2만원, 주차공간없음, 11:30 - 22:00
마네키, 서울시 서대문구 홍제동 56, 02-734-1025, 정통 일식 / 일반 일식, None, None, None
오케이치킨 (홍제점), 서울시 서대문구 홍제동 95-1, 02-722-9589, 치킨 / 호프 / 펍, 만원-2만원, None, None
민영이네, 서울시 서대문구 홍제동 460, 02-379-2439, 기타 한식, 만원 미만, None, None
포메인 (홍제점), 서울시 서대문구 홍제동 469, 02-736-4444, 베트남 음식, 만원-2만원, None, None
우치노마치 초밥, 서울시 서대문구 홍제동 91-4, 02-722-9298, 회 / 스시, 만원-2만원, 주차공간없음, 11:30 - 23:00
일품향, 서울시 서대문구 홍제동 139-5, 02-722-2257, 정통 중식 / 일반 중식, 09:00 - 21:00, None, None
왕십리곱창천하, 서울시 서대문구 홍제동 102-9, 02-725-6788, 고기 요리, 만원-2만원, 17:00 - 24:00, None
대성집, 서울시 종로구 행촌동 209-35, 02-735-4259, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 09:00 - 21:00
달인꽈배기, 서울시 서대문구 영천동 69-3, 02-313-5419, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 07:00 - 15:30\n토: 07:00 - 12:00
원조떡볶이, 서울시 서대문구 영천동 290-1, 02-312-5436, 기타 한식, 만원 미만, 무료주차 가능, 10:00 - 19:30
엄마김밥, 서울시 서대문구 영천동 69-64, 02-364-1183, 기타 한식, 만원 미만, 무료주차 가능, 01:00 - 15:00
돈박, 서울시 종로구 무악동 45-19, 02-720-2999, 기타 한식, 만원 미만, 주차공간없음, 11:00 - 22:00
메콩싸롱, 서울시 서대문구 영천동 69-10, 010-8708-1581, 베트남 음식, 2만원-3만원, 유료주차 가능, 17:30 - 01:00
참나라 (독립문점), 서울시 서대문구 영천동 69-9, 02-393-2283, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 16:00 - 02:00
피자리또, 서울시 종로구 행촌동 209-69, 02-722-5799, 이탈리안, 만원-2만원, 주차공간없음, 11:00 - 03:00
파파존스피자 (독립문점), 서울시 종로구 무악동 63-2, 02-733-0529, 기타 양식, 만원-2만원, 주차공간없음, 11:00 - 22:30
영천 떡볶이, 서울시 서대문구 영천동 69-64, 기타 한식, 만원 미만, None, None, None
더파크뷰 (서울신라호텔), 서울시 중구 장충동2가 202, 02-2230-3374, 뷔페, 4만원 이상, 유료주차 가능, 11:00 - 21:30
더라이브러리 (서울신라호텔), 서울시 중구 장충동2가 202, 02-2230-3388, 카페 / 디저트, 2만원-3만원, 유료주차 가능, 08:00 - 02:00
아리아께, 서울시 중구 장충동2가 202, 02-2230-3356, 정통 일식 / 일반 일식, 4만원 이상, 발렛, 12:00 - 22:00
평안도족발집, 서울시 중구 장충동1가 62-16, 02-2279-9759, 고기 요리, 만원-2만원, 무료주차 가능, 11:30 - 23:00
패스트리부티크, 서울시 중구 장충동2가 202, 02-2230-3377, 카페 / 디저트, 만원-2만원, 무료주차 가능, 07:00 - 22:00
팔선 (서울신라호텔), 서울시 중구 장충동2가 202, 02-2230-3366, 정통 중식 / 일반 중식, 4만원 이상, 발렛, 12:00 - 22:00
도치피자 (장충점), 서울시 중구 장충동2가 24-29, 02-2277-8005, 이탈리안, 만원-2만원, 무료주차 가능, 11:30 - 22:00
태극당, 서울시 중구 장충동2가 189-5, 02-2279-3152, 카페 / 디저트, 만원 미만, 유료주차 가능, 07:30 - 23:00
말뚜기족발보쌈, 서울시 중구 장충동1가 59-2, 02-2273-1341, 고기 요리, 2만원-3만원, 무료주차 가능, 10:00 - 23:00
송림, 서울시 중구 장충동1가 35-6, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 월-금: 11:00 - 21:30\n토-일: 11:00 - 21:00, 첫째/셋째 일
None, None, None, None, None, None, None
투떰즈업, 서울시 성동구 금호동4가 800, 02-2291-6677, 베이커리, 만원 미만, 무료주차 가능, 월-금: 12:00 - 19:00 토: 12:00 - 17:00
귀일만두, 서울시 성동구 금호동3가 1286, 010-4310-1066, 한정식 / 백반 / 정통 한식, 만원 미만, 주차공간없음, 11:00 - 01:00
목화다방, 서울시 성동구 금호동3가 1288, 070-8841-4888, 칵테일 / 와인, 만원-2만원, 주차공간없음, 18:00 - 02:00
도네누 (금호점), 서울시 성동구 금호동3가 1302, 02-3493-1005, 고기 요리, 만원-2만원, 14:00 - 02:00, 
일미향, 서울시 성동구 금호동3가 443, 02-2233-0214, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 10:30 - 21:00
춘풍월 (금호점), 서울시 성동구 금호동3가 1387-10, 02-2254-2700, 이자카야 / 오뎅 / 꼬치, 만원-2만원, 무료주차 가능, 18:00 - 03:00
메그엔스튜디오, 서울시 성동구 금호동3가 1170-9, 02-796-8070, 카페 / 디저트, 만원 미만, 주차공간없음, 10:00 - 22:30
태오커피, 서울시 성동구 금호동3가 1282, 010-5624-0613, 카페 / 디저트, 만원 미만, 주차공간없음, 월-토: 09:00 - 21:00\n일: 12:00 - 21:00
돼지미학, 서울시 성동구 금호동3가 981-6, 02-2233-9944, 고기 요리, 만원-2만원, 주차공간없음, 11:30 - 23:00
베쌀집, 서울시 성동구 금호동3가 1295, 02-2232-2066, 베트남 음식, 만원 미만, None, None
더코너키친, 서울시 성동구 옥수동 365-17, 02-6448-9090, 이탈리안, 만원-2만원, 주차공간없음, 11:30 - 22:00
아니스, 서울시 성동구 옥수동 220-1, 02-2299-2822, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 09:00 - 21:30\n토-일: 10:00 - 21:30
일품생고기, 서울시 성동구 옥수동 384, 02-2295-6566, 고기 요리, 4만원 이상, 주차공간없음, 11:30 - 23:00
모찌모찌, 서울시 성동구 옥수동 362-3, 010-9139-4286, 베이커리, 만원 미만, 주차공간없음, 08:00 - 20:00
알프키친, 서울시 용산구 한남동 1-131, 070-4134-7474, 퓨전 양식, 만원-2만원, 주차공간없음, 12:00 - 22:00
심플십, 서울시 성동구 옥수동 265-1, 070-7780-9575, 카페 / 디저트, 만원 미만, 무료주차 가능, 10:00 - 23:00
한남일류초밥, 서울시 성동구 옥수동 200-5, 02-2294-3428, 회 / 스시, 2만원-3만원, 유료주차 가능, 11:30 - 22:00
항구도시연구소, 서울시 성동구 옥수동 285-32, 010-5894-4736, 카페 / 디저트, 만원 미만, 10:00 - 20:30, 20:00
부부요리단1탄 제주흑돼지갑오징어, 서울시 성동구 옥수동 392, 02-2295-5886, 해산물 요리, 만원-2만원, 무료주차 가능, 월-토: 11:00 - 23:00\n일: 11:00 - 22:00
이스파이, 서울시 성동구 옥수동 228-1, 02-2297-5900, 베이커리, 2만원-3만원, 무료주차 가능, 10:00 - 21:00
노아베이커리 (압구정점), 서울시 강남구 신사동 612, 02-546-7588, 베이커리, 만원 미만, 유료주차 가능, 08:00 - 23:00
로이스 (압구정점), 서울시 강남구 신사동 579-3, 02-545-5218, 카페 / 디저트, 만원 미만, 유료주차 가능, 11:00 - 21:00
씨네드쉐프 (압구정점), 서울시 강남구 신사동 602, 02-3446-0541, 프랑스 음식, 4만원 이상, 발렛, 11:30 - 22:00
포도식당, 서울시 강남구 신사동 570-4, 02-514-9252, 고기 요리, 만원-2만원, 무료주차 가능, 11:00 - 23:00
일일향 (1호점), 서울시 강남구 신사동 595, 02-545-6154, 정통 중식 / 일반 중식, 만원-2만원, 발렛, 11:30 - 21:30
